Welfare Rules Database - Selected Rules
State,Policy-Date-Begin,Policy-Date-End,Coverage,Unit Type,Majority Rules,Coverage Description,Component,Program,Waiver,da_name1,da_name1 Notes,da_v1f03,da_v1f03 Notes,da_name2,da_name2 Notes,da_v2f03,da_v2f03 Notes,da_name3,da_name3 Notes,da_v3f03,da_v3f03 Notes,da_name4,da_name4 Notes,da_v4f03,da_v4f03 Notes,Notes
Alabama,1997/03/01,"2002/11/30","Statewide, full coverage","All",Yes,"","","TANF","","Payment Standard","","164","","n.a.","","","","n.a.","","","","n.a.","","","",""
Alabama,2002/12/01,"Ongoing","Statewide, full coverage","All",Yes,"","","TANF","","Payment Standard","","215","","n.a.","","","","n.a.","","","","n.a.","","","",""
Alaska,1998/03/01,"1998/10/31","Statewide, full coverage","All",Yes,"","","TANF","","Need Standard","","1078","","Maximum Payment","","923","","n.a.","","","","n.a.","","","","When an assistance unit includes two parents, one of whom is physically or mentally unable to perform gainful activity, the unit receives a higher need standard threshold.   Family of 1 represents the needs standard for a pregnant woman when she is the only person in the assistance unit.  Maximum payment levels are not used to calculate ATAP payments; they are presented for information purposed only."
Alaska,1998/11/01,"1999/12/31","Statewide, full coverage","All",Yes,"","","TANF","","Need Standard","","1092","","Maximum Payment","","923","","n.a.","","","","n.a.","","","","When an assistance unit includes two parents, one of whom is physically or mentally unable to perform gainful activity, the unit receives a higher need standard threshold.   Family of 1 represents the needs standard for a pregnant woman when she is the only person in the assistance unit.  Maximum payment levels are not used to calculate ATAP payments; they are presented for information purposed only."
Alaska,2000/01/01,"2000/12/31","Statewide, full coverage","All",Yes,"","","TANF","","Need Standard","","1118","","Maximum Payment","","923","","n.a.","","","","n.a.","","","","When an assistance unit includes two parents, one of whom is physically or mentally unable to perform gainful activity, the unit receives a higher need standard threshold.   Family of 1 represents the needs standard for a pregnant woman when she is the only person in the assistance unit.  Maximum payment levels are not used to calculate ATAP payments; they are presented for information purposed only."
Alaska,2001/01/01,"2001/12/31","Statewide, full coverage","One-parent or one-caretaker families",Yes,"","","TANF","","Need Standard","","1156","","Maximum Payment","","923","","n.a.","","","","n.a.","","","","Family of 1 represents the needs standard for a pregnant woman when she is the only person in the assistance unit.  Maximum payment levels are not used to calculate ATAP payments; they are presented for information purposed only."
Alaska,2002/01/01,"2002/12/31","Statewide, full coverage","One-parent or one-caretaker families",Yes,"","","TANF","","Need Standard","","1186","","Maximum Payment","","923","","n.a.","","","","n.a.","","","","Family of 1 represents the needs standard for a pregnant woman when she is the only person in the assistance unit.  Maximum payment levels are not used to calculate ATAP payments; they are presented for information purposed only."
Alaska,2003/01/01,"2003/12/31","Statewide, full coverage","One-parent or one-caretaker families",Yes,"","","TANF","","Need Standard","","1202","","Maximum Payment","","923","","n.a.","","","","n.a.","","","","Family of 1 represents the needs standard for a pregnant woman when she is the only person in the assistance unit.  Maximum payment levels are not used to calculate ATAP payments; they are presented for information purposed only."
Alaska,2004/01/01,"2004/09/30","Statewide, full coverage","One-parent or one-caretaker families",Yes,"","","TANF","","Need Standard","","1227","","Maximum Payment","","923","","n.a.","","","","n.a.","","","","Family of 1 represents the needs standard for a pregnant woman when she is the only person in the assistance unit.  Maximum payment levels are not used to calculate ATAP payments; they are presented for information purposed only."
Alaska,2005/01/01,"2005/12/31","Statewide, full coverage","One-parent or one-caretaker families",Yes,"","","TANF","","Need Standard","","1260","","Maximum Payment","","923","","n.a.","","","","n.a.","","","","Family of 1 represents the needs standard for a pregnant woman when she is the only person in the assistance unit.  Maximum payment levels are not used to calculate ATAP payments; they are presented for information purposed only."
